Altitude (m),Temperature (deg C),Gravity (m/s2),Pressure (N/m2),Density (kg/m3),Dynamic Viscosity (N*s/m2)
-1000,21.501022693409425,9.809736149325397,113931.14153142163,1.347015529416289,1.8205798016522562e-05
-900,20.8508283686283,9.809427468840987,112615.96544287007,1.3344107036528894,1.8174744679502374e-05
-800,20.200654503186456,9.809118802926106,111313.15057126786,1.3218967053462942,1.814365908107642e-05
-700,19.55050109611824,9.80881015157983,110022.60727226471,1.3094730754543835,1.8112541137581737e-05
-600,18.900368146458106,9.80850151480125,108744.24635955643,1.2971393562729392,1.808139076505795e-05
-500,18.25025565324046,9.80819289258945,107477.97910351606,1.284895091434529,1.805020787924614e-05
-400,17.60016361549981,9.807884284943505,106223.71722982578,1.272739825907384,1.8018992395587845e-05
-300,16.95009203227079,9.807575691862503,104981.3729181105,1.26067310599428,1.7987744229223956e-05
-200,16.300040902587966,9.807267113345532,103750.85880057293,1.248694479331421,1.795646329499367e-05
-100,15.650010225486142,9.80695854939167,102532.08796062933,1.2368034948873121,1.7925149507433423e-05
0,15.0,9.80665,101325.0,1.225000018124288,1.789380278077583e-05
100,14.350010225164397,9.806341465169606,100129.4564559529,1.213282967332296,1.7862423028948615e-05
200,13.700040900014244,9.806032944899576,98945.39813636741,1.2016522136693806,1.783101016557355e-05
300,13.050092023584455,9.805724439188989,97772.73991588074,1.190107311421926,1.7799564103965406e-05
400,12.400163594910055,9.805415948036933,96611.39711354447,1.1786478162030058,1.7768084757130893e-05
500,11.750255613026127,9.805107471442486,95461.28549146843,1.1672732849512553,1.773657203776756e-05
600,11.100368076967698,9.804799009404743,94322.32125346604,1.155983275929745,1.7705025858262808e-05
700,10.450500985770134,9.804490561922774,93194.42104370127,1.1447773487248578,1.7673446130692767e-05
800,9.800654338468519,9.804182128995675,92077.5019453362,1.133655064245156,1.7641832766821284e-05
900,9.150828134098276,9.803873710622524,90971.48147918055,1.1226159847202537,1.761018567809884e-05
1000,8.501022371694717,9.803565306802405,89876.27760234232,1.1116596736996904,1.7578504775661537e-05
1100,7.851237050293264,9.803256917534405,88791.80870687953,1.1007856960517965,1.7546789970329986e-05
1200,7.201472168929513,9.80294854281761,87717.99361845355,1.0899936179625638,1.7515041172608333e-05
1300,6.551727726638887,9.8026401826511,86654.75159498386,1.0792830069345156,1.7483258292683145e-05
1400,5.902003722457096,9.802331837033964,85602.00232530352,1.0686534317855694,1.7451441240422417e-05
1500,5.252300155419732,9.802023505965284,84559.66592781676,1.0581044626479077,1.7419589925374498e-05
1600,4.602617024562619,9.801715189444145,83527.66294915731,1.0476356709668406,1.7387704256767078e-05
1700,3.9529543289214644,9.801406887469634,82505.91436284829,1.037246629499673,1.7355784143506125e-05
1800,3.303312067532204,9.801098600040833,81494.34156796329,1.0269369123145644,1.7323829494174862e-05
1900,2.6536902394307162,9.800790327156827,80492.86638778904,1.0167060947893976,1.7291840217032767e-05
2000,2.004088843652994,9.800482068816706,79501.41106848906,1.0065537536106361,1.7259816220014498e-05
2100,1.3545078792350864,9.800173825019547,78519.8982777689,0.9964794667721881,1.7227757410728885e-05
2200,0.7049473452130428,9.799865595764443,77548.25110354248,0.9864828135742655,1.719566369645794e-05
2300,0.055407240623083,9.799557381050475,76586.3930526,0.9765633746222444,1.7163534984155817e-05
2400,-0.59411243549863,9.799249180876728,75634.24804927697,0.9667207318255236,1.713137118044778e-05
2500,-1.2436116841157627,9.798940995242289,74691.7404341246,0.9569544683963819,1.7099172191629248e-05
2600,-1.8930905061919816,9.798632824146244,73758.79496258181,0.9472641688488376,1.706693792366473e-05
2700,-2.5425489026908963,9.798324667587677,72835.33680364798,0.9376494189975008,1.70346682821869e-05
2800,-3.1919868745760596,9.798016525565675,71921.29153855749,0.9281098059564304,1.7002363172495523e-05
2900,-3.8414044228109105,9.797708398079324,71016.58515945572,0.9186449181379917,1.6970022499556534e-05
3000,-4.4908015483588315,9.797400285127708,70121.14406807562,0.9092543452517026,1.693764616800102e-05
3100,-5.140178252183318,9.797092186709913,69234.89507441659,0.8999376783030939,1.6905234082124247e-05
3200,-5.789534535247526,9.796784102825026,68357.76539542398,0.890694509592556,1.6872786145884702e-05
3300,-6.438870398514723,9.796476033472134,67489.6826536701,0.8815244327141907,1.6840302262903114e-05
3400,-7.088185842948121,9.79616797865032,66630.57487603687,0.8724270425546635,1.680778233646149e-05
3500,-7.737480869510819,9.795859938358673,65780.37049239926,0.8634019352920483,1.6775226269502193e-05
3600,-8.3867554791658,9.795551912596279,64938.99833431051,0.8544487083946785,1.674263396462696e-05
3700,-9.036009672876162,9.795243901362221,64106.387633688544,0.8455669606199945,1.6710005324095973e-05
3800,-9.685243451604777,9.79493590465559,63282.468021503584,0.8367562920133867,1.667734024982694e-05
3900,-10.334456816314514,9.794627922475469,62467.169526467325,0.828016303907044,1.664463864339418e-05
4000,-10.983649767968188,9.794319954820946,61660.422573723285,0.8193465989187958,1.661190040602766e-05
4100,-11.632822307528556,9.794012001691106,60862.15798353854,0.8107467809509571,1.6579125438612143e-05
4200,-12.281974435958318,9.793704063085038,60072.306969996804,0.8022164551891692,1.6546313641686255e-05
